																																																																																																
	Tissue  	Density (kg/m3)					Heat Capacity (J/kg/°C)					Thermal Conductivity (W/m/°C)					Heat Transfer Rate (ml/min/kg)					Heat Generation Rate (W/kg)					Dielectric Properties														Semcad		LF Conductivity 					Anisotropic LF Conductivity across					Anisotropic LF Conductivity along					Anisotropic LF Conductivity normal to surface					Magnetic Parameters	Magnetic Permittivity	Tissue Speed of Sound [m/s]					Tissue Dependent Parameter of the Non Linearity Prameter B/A					Attenuation Constant		1.5T- T1 [ms]					1.5T- T2 [ms]					3.0T- T1 [ms]					3.0T- T2 [ms]				
	Name	Average	Standard Deviation	Sample Size	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	ef	del1	tau1 (ps)	alf1	del2	tau2 (ns)	alf2	sig	del3	tau3 (µs)	alf3	del4	tau4 (ms)	alf4	Alternative Names	source	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	Magnetic Conductivity [S/m]	Relative Permeability	av	sd	n	min 	max	av	sd	n	min 	max	?0 [Np/m/MHz]	b	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max
	Skull (Cancellous)	1178.333333	196.9162258	16	1080	1350	2274	234.0854545	3	2060	2524	0.3125	0.032015621	4	0.29	0.36	30	20	3	10	50	0.464606796	0.030973786	3	0.154868932	0.77434466	2.5	18	13.263	0.22	300	79.577	0.25	0.07	20000	159.155	0.2	20000000	15.915	0	None	Bone Cancellous	0.09975	0.121595589	5	0.0162	0.173																0	1	2117.533333	288.6591223	5	1854.666667	2450			0			47	1.2			0					0					0					0		
	Skull (Cortical)	1908	166.0051634	27	1800	2100	1312.833333	294.7028447	6	826	1650	0.32	0.034641016	3	0.3	0.36	10	0	1	10	10	0.154868932	0	1	0.154868932	0.154868932	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	None	Bone (Cortical)	0.00644673	0.002535023	57	0.00283	0.012589702																0	1	2813.692308	336.9676999	13	2190	3360			0			54.553	1			0					0					0					0		
	Small Intestine	1030	0	1	1030	1030	3595	0	1	3595	3595	0.493	0	1	0.493	0.493	1026.25	336.5030487	11	560	1528.4375	15.89342415	0.521138678	11	8.672660194	23.67074833	4	50	7.958	0.1	10000	159.155	0.1	0.5	500000	159.155	0.2	40000000	15.915	0	"Fetus_intestine@Intestine@duodenum@Baby_Small_intestine@SmallIntestine@Small_intestine@Ileum@Jejunum@Intestine, Small@Small_intestine_wall@"	Small Intestine	0.163535918	0.053622755	1	0.163535918	0.163535918																0	1	1500		-1	1500	1500			0			5.7429	1			0					0					0					0		
	Small Intestine Lumen	1045.20	0	2	1000.00	1090.40	3801.1	0	2	3421.2	4181	0.557484375	0	2	0.49496875	0.62	0	0	1	0	0	0	0	1	0	0	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	SmallIntestine_Contents@Small_intestine_lumen@Duodenum (Lumen)@Ileum (Lumen)@Jejunum (Lumen)	Muscles	0.461007526	0.243781754	24	0.1	0.726																0	1	1535.365278	0	1	1482.3	1588.430556	6.063	1.048568866	6	6.55	7.05	0.4243	1.0414			0					0					0					0		
	Spinal Cord	1075	61.21546646	6	1038	1112	3630	34.4267338	5	3664	3753	0.51325	0.02248518	4	0.489	0.537	160.3333333	29.53528963	3	130	189	2.48306521	0.045740988	3	2.013296117	2.927022816	4	26	7.958	0.1	500	106.103	0.15	0.006	70000	15.915	0.2	40000000	15.915	0	Fetus_spinalcord@Baby_Spinal_cord@Nerve_SpinalCord@Spinal_cord@Spinal Cord	Nerve	0.610953849	0.13167476	60	0.49734388	0.781544																0	1	1542	0	1	1542	1542			0			6.8032	1.3	745	0	1	745	745	74	0	1	74	74	993	0	1	993	993	78	0	1	78	78
	Spleen	1089	67.21606951	14	1050	1163	3596	191.3739794	3	3376	3724	0.534285714	0.013732131	7	0.514	0.545	1556.984127	722.8972754	14	930.5555556	3600	24.11284689	1.11954329	14	14.41141451	55.75281553	4	48	7.958	0.1	2500	63.662	0.15	0.03	200000	265.258	0.25	50000000	6.366	0	Fetus_spleen@Baby_Spleen	Spleen	0.220522377	0.164255956	9	0.107135429	0.48																0	1	1567.6	21.90484472	10	1515	1601	7.6175	0.480164902	4	6.9	7.9	4.3726	1.3832	1057	0	1	1057	1057	79	0	1	79	79	1328	0	1	1328	1328	61	0	1	61	61
	Stomach	1088	55.55177765	6	1050	1126	3690	0	1	3690	3690	0.52525	0.00801561	4	0.514	0.533	460.3223684	255.6544872	8	105.7894737	881.5789474	7.128963359	0.395929374	8	1.638350281	13.65291901	4	60	7.958	0.1	2000	79.577	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	Fetus_Stomach@Baby_Stomach@Stomach@Stomach_wall@	Stomach	0.163535918	0.053622755	1	0.163535918	0.163535918																0	1	1500		-1	1500	1500			0			5.7429	1			0					0					0					0		
	Stomach Lumen	1045.2	0	2	1000	1090.4	3801.1	0	2	3421.2	4181	0.557484375	0	2	0.49496875	0.62	0	0	1	0	0	0	0	1	0	0	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	Stomach_Contents@Stomach_lumen@Stomach (Lumen)	Muscle	0.461007526	0.243781754	24	0.1	0.726																0	1	1535.365278	0	1	1482.3	1588.430556	6.063	1.048568866	6	6.5	7.8	0.4243	1.0414			0					0					0					0		
	Tendon\Ligament	1142	40.81002736	20	1110	1174	3432	96.16652224	2	3364	3500	0.469	0.041012193	2	0.44	0.498	29	0	2	29	29	0.449119903	0	2	0.449119903	0.449119903	4	42	12.243	0.1	60	6.366	0.1	0.25	60000	318.31	0.22	20000000	1.326	0	Tendons@Tail_Tendons@Tendon@Ligament@Tendon_Ligament@Heart (Pericard)@Vertebral Foramen@Ligaments@Tendons (Head)@Tendons (Legs)@Tendons (Tail)@Tendon_ligament@Tendon - Galea Aponeurotica@Tendon - Temporalis Tendon@	Tendon\Ligament	0.367577228	0.044264987	1	0.367577228	0.367577228																0	1	1750	0	2	1750	1750			0			14.506	1.1719			0					0					0					0		
	Testis	1082	46.96490046	7	1044	1120	3778	0	1	3778	3778	0.515	0	1	0.515	0.515	199.8095238	24.41366853	3	185.7142857	228	3.094428756	0.037809188	3	2.876137309	3.53101165	4	55	7.958	0.1	5000	159.155	0.1	0.4	100000	159.155	0.2	40000000	15.915	0	Testicles@Albuginean Tunic	Testis	0.366066667	0.006610261	1	0.366066667	0.366066667																0	1	1595	0	1	1595	1595			0			2.4237	1.5613			0					0					0					0		
	Thalamus	1044.5	7.778174593	9	1039	1050	3695.8	34.4267338	5	3664	3753	0.547	0.025455844	2	0.529	0.565	684.5	289.2066735	2	480	889	13.92824495	0.588479385	2	9.767067314	18.08942259	4	45	7.958	0.1	400	15.915	0.15	0.02	200000	106.103	0.22	45000000	5.305	0	Thalamus (left)@Thalamus (right)	Brain (Grey Matter)	0.475	0.03	1	0.475	0.475																0	1	1500		-1	1500	1500			0			1.2	1.21	1013.078431	196.0988876	5	814	1265	111.5333333	51.27203113	2	76.3	182	1387.16129	136.6579908	2	1218	1494	73	0	1	73	73
	Thymus	1023	1.5	2	1023	1023	3043.416667	0	2	2348.333333	3738.5	0.335725	0	1	0.21145	0.46	247.088	0	2	32.70933333	461.4666667	3.826625468	0	2	0.506565952	7.146684984	3	53.2	7.28	0.24	121.6	2.47	0	0.55	0	159.155	0.2	0	15.915	0	Baby_Thymus	Thymus	0.149071825	0.12866898	50	0.065561031	0.347608696																0	1	1513.09375	10.95934723	8.5	1440.1875	1586	9.1406	0.787675441	11	8.21	11.15	11.199	1.0431			0					0					0					0		
	Thyroid Gland	1050	5.197234842	3	1050	1050	3609	0	1	3609	3609	0.5185	0.019487175	3	0.496	0.53	5624.285714	1403.099036	7	3350	7370	87.10271221	2.172964492	7	51.88109223	114.1384029	4	55	7.958	0.1	2500	159.155	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	thyroid@Baby_Thyroid_gland@Thyroid_gland@Thyroid  -- EM	Thyroid gland	0.4811	0	1	0.4811	0.4811																0	1	1500		-1	1500	1500			0			15.492	1			0					0					0					0		
	Tongue	1090.4	55.14127697	14	1041	1178	3421.2	460.1594289	5	2624	3799	0.49496875	0.042114308	8	0.4225	0.56	78	0	1	78	78	1.20797767	0	1	1.20797767	1.20797767	4	50	7.958	0.1	4000	159.155	0.1	0.25	100000	159.155	0.2	40000000	15.915	0	None	Tongue	0.461007526	0.243781754	24	0.1	0.726																0	1	1588.430556	21.56469408	24	1545	1631	7.166	0.600441504	5	6.5	7.8	2.9012	1.032			0					0					0					0		
	Tooth	2180	84.90561208	12	2160	2200	1255	0	1	1255	1255	0.59	0	1	0.59	0.59	0	0	1	0	0	0	0	1	0	0	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	Teeth@Tooth@tooth@Teeth_upper@Teeth_lower@Tooth_erupted@Tooth_unerupted@Upper_teeth@Lower_teeth	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091																0	1	4565.878205	0	1	3639.833333	5491.923077			0			64.444	1			0					0					0					0		
	Tooth (Dentine)	2063	85.39532254	197	1960	2145	1338.333333	222.054798	3	1170	1590	0.516666667	0.080363756	3	0.425	0.575	0	0	1	0	0	0	0	1	0	0	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	Tooth_dentine	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091																0	1	3639.833333	335.9171525	12	2928	4140			0			51.11111	1			0					0					0					0		
	Tooth (Enamel)	2958.333333	37.70793529	111	2925	2980	711	0	1	711	711	0.7915	0.200111219	2	0.65	0.933	0	0	1	0	0	0	0	1	0	0	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	Tooth_enamel	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091																0	1	5491.923077	836.3550344	13	3460	6260			0			77.77778	1			0					0					0					0		
	Trachea	1080	10	2	1080	1080	3568	78.06407625	4	3500	3664	0.487	0.026888659	3	0.47	0.518	35	0	1	35	35	0.542041262	0	1	0.542041262	0.542041262	2.5	38	7.958	0.1	400	63.662	0.1	0.3	50000	15.915	0.2	1000000	15.915	0	Trachea (Head)@Trachea_wall@trachea wall@Trachea_and_main_bronchi	Trachea	0.341986667	0.008632178	1	0.341986667	0.341986667																0	1	1639.6	11.62196197	3	1627	1649.9			0			0.4397	1	1045.5	15.28434202	2	1031	1060	37.3375	3.271121974	3	34.225	42.1	1201	41.10960958	2	1162	1240	44.025	8.559397773	3	35	52.41666667
	Trachea Lumen	1.164091553	0.050782213	2	1.128183106	1.2	1003.666667	3.214550254	3	1000	1006	0.027381779	0.001782217	4	0.026	0.03	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Trachea_lumen@Trachea (Lumen)	Trachea Lumen	0		1	0	0																0	1	343	0	1	343	343			0			0.039143947	2			0					0			0	0	0	0	0			0		
	Ureter\Urethra	1101.5	53.28128971	22	1056	1147	3306	158.1486642	3	3171	3480	0.462	0.016370706	3	0.444	0.476	188	0	1	188	188	2.911535922	0	1	2.911535922	2.911535922	4	40	8.842	0.1	50	3.183	0.1	0.25	100000	159.155	0.2	10000000	1.592	0	"Urethra@Ureter_Urethra@Bile Duct@Ureter@urethra
"	Blood Vessel Wall	0.231971605	0.013599884	1	0.231971605	0.231971605																0	1	1569.142857	5.756983337	7	1559	1575			0			7.02	1			0			36.4	0	1	36.4	36.4	968.3333333	186.5	2	844	1217	43.16666667	6.25	2	39	51.5
	Urinary Bladder Wall	1086	58.30380205	3	1040	1132	3581.333333	301.7371925	3	3300	3900	0.52225	0.039203529	4	0.481	0.561	78	0	1	78	78	1.20797767	0	1	1.20797767	1.20797767	2.5	16	8.842	0.1	400	159.155	0.1	0.2	100000	159.155	0.2	10000000	15.915	0	Bladder_wall@Bladder_urinary_wall	Urinary Bladder Wall	0.314670639	0.123858102	54	0.188679245	0.406862745																0	1	1500		-1	1500	1500			0			5.7429	1			0					0					0					0		
	Urine	1023.613204	14.04915736	6	1012.226409	1035	4178	0	1	4178	4178	0.56	0	1	0.56	0.56	0	0	1	0	0	0	0	1	0	0	3	65.5	6.93	0	28.4	1.78	0	1.75	0	159.155	0	0	15.915	0	Fetus_bladder@Bladder@Baby_Bladder@Urine@Bladder_whole@Urinary Bladder	Urine	2.441203954	0.680856684	13	1.691730538	3.333333333																0	1	1537.666667	15.94783162	3	1520	1551	6.14	0	1	6.14	6.14	0.0706	1.645			0					0					0					0		
	Uterus	1104.5	78.71149852	6	1052	1157	3676	0	1	3676	3676	0.5265	0.02192031	2	0.511	0.542	457.5	407.5230055	4	170	1055	7.085253641	0.631126526	4	2.632771845	16.33867233	4	55	7.958	0.1	800	31.831	0.1	0.2	300000	159.155	0.2	35000000	1.061	0	Baby_Uterus	Uterus	0.390842308	0.091869618	1	0.390842308	0.390842308																0	1	1629	0	1	1629	1629			0			8.1157	1	1309	0	1	1309	1309	117	0	1	117	117	1514	0	1	1514	1514	79	0	1	79	79
	Vagina	1088	55.82240254	7	1044	1132	3654.5	64.34671709	2	3609	3700	0.542	0.030724583	4	0.496	0.56	98	0	1	98	98	1.517715534	0	1	1.517715534	1.517715534	4	50	7.958	0.1	3000	159.155	0.2	0.01	100000	159.155	0.2	40000000	1.592	0	Fossa Clitoris	Large Intestine	0.163535918	0.053622755	1	0.163535918	0.163535918																0	1	1500		-1	1500	1500			0			5.7429	1	1135	0	1	1135	1135	58	0	1	58	58	1616	0	1	1616	1616	83	0	1	83	83
	Vertebrae	1908	166.0051634	27	1800	2100	1312.833333	294.7028447	6	826	1650	0.32	0.034641016	3	0.3	0.36	10	0	1	10	10	0.154868932	0	1	0.154868932	0.154868932	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	None@Vertebra_C1@Vertebra_C2@Vertebra_C3@Vertebra_C4@Vertebra_C5@Vertebra_C6@Vertebra_C7@Vertebra_T1@Vertebra_T2@Vertebra_T3@Vertebra_T4@Vertebra_T5@Vertebra_T6@Vertebra_T7@Vertebra_T8@Vertebra_T9@Vertebra_T10@Vertebra_T11@Vertebra_T12@Vertebra_L1@Vertebra_L2@Vertebra_L3@Vertebra_L4@Vertebra_L5@Vertebra_os_sacrum@Vertebrae_toracal@Vertebrae_lumbal_sacral@Vertebra - C1 (atlas)@Vertebra - C2 (axis)@Vertebra - C3@Vertebra - C4@Vertebra - C5	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091																0	1	3514.857143	420.3441787	21	2660	4200			0			54.553	1			0					0					0					0		
	Water	994.035466	0	1	994.035466	994.035466	4178	0	1	4178	4178	0.6045	0.006363961	2	0.6	0.609	0	0	1	0	0	0	0	1	0	0	4.57	78.32	8.38	0	1.75	0.0011	0	0	0	0	0	0	0	0	None	Water	0.00162		1	0.00162	0.00162																0	1	1482.3	0	1	1482.3	1482.3	4.96	0	1	4.96	4.96	0.025328436	1			0					0					0					0		
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
