																		
Tissue  		Hydrogen	Carbon	Nitrogen	Oxygen	Sodium	Magnesium	Silicon	Phosphor	Sulfur	Chlorine	Argon	Potassium	Calcium 	Scandium	Iron 	Zinc	Iodine
Dura	Average	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
 	Standard Deviation 	0	0.1416159	0	0	0				0	0							
 	Minimum	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
 	Maximum	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
Esophagus	Average	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
 	Maximum	0.636502085	0.071391688	0.01277213	0.277992283	0.000268328			0.000199162	0.000384769	0.000174		0.000315554					
Eye (Lens)	Average	0.614192801	0.102624493	0.024971446	0.257578587	0.000139306			0.000103397	0.000299636	9.03E-05							
 	Standard Deviation 	0.005849469	0.001933927	0.001547781	0.001473027	0			0	0	0							
 	Minimum	0.610056602	0.101257	0.023877	0.256537	0.000278611			0.000206795	0.000599271	0.000180668							
 	Maximum	0.618329	0.103991986	0.026065893	0.258620174	0.000278611			0.000206795	0.000599271	0.000180668							
Eye Lens (Cortex)	Average	0.614192801	0.102624493	0.024971446	0.257578587	0.000139306			0.000103397	0.000299636	9.03E-05							
 	Standard Deviation 	0.005849469	0.001933927	0.001547781	0.001473027	0			0	0	0							
 	Minimum	0.610056602	0.101257	0.023877	0.256537	0.000278611			0.000206795	0.000599271	0.000180668							
 	Maximum	0.618329	0.103991986	0.026065893	0.258620174	0.000278611			0.000206795	0.000599271	0.000180668							
Eye Lens (Nucleus)	Average	0.614192801	0.102624493	0.024971446	0.257578587	0.000139306			0.000103397	0.000299636	9.03E-05							
 	Standard Deviation 	0.005849469	0.001933927	0.001547781	0.001473027	0			0	0	0							
 	Minimum	0.610056602	0.101257	0.023877	0.256537	0.000278611			0.000206795	0.000599271	0.000180668							
 	Maximum	0.618329	0.103991986	0.026065893	0.258620174	0.000278611			0.000206795	0.000599271	0.000180668							
Fat	Average	0.49970225	0.366640376	0.003015783	0.129464186	0.000180688			0.0005	0.000129548	0.000117168			0.00025				
 	Standard Deviation 	0.253144987	0.184083251	0.003470394	0.070534002	5.26E-06			0	3.77E-06	3.41E-06			0				
 	Minimum	0.12	0.243816217	0.000525712	0.067109586	0.000235879			0.002	0.000169119	0.000152957			0.001				
 	Maximum	0.629395608	0.64	0.008	0.229	0.00024638			0.002	0.000176648	0.000159767			0.001				
Fat (Average Infiltrated)	Average	0.49970225	0.366640376	0.003015783	0.129464186	0.000180688			0.0005	0.000129548	0.000117168			0.00025				
 	Standard Deviation 	0.253144987	0.184083251	0.003470394	0.070534002	5.26E-06			0	3.77E-06	3.41E-06			0				
 	Minimum	0.12	0.243816217	0.000525712	0.067109586	0.000235879			0.002	0.000169119	0.000152957			0.001				
 	Maximum	0.629395608	0.64	0.008	0.229	0.00024638			0.002	0.000176648	0.000159767			0.001				
Fat (Not Infiltrated)	Average	0.49970225	0.366640376	0.003015783	0.129464186	0.000180688			0.0005	0.000129548	0.000117168			0.00025				
 	Standard Deviation 	0.253144987	0.184083251	0.003470394	0.070534002	5.26E-06			0	3.77E-06	3.41E-06			0				
 	Minimum	0.12	0.243816217	0.000525712	0.067109586	0.000235879			0.002	0.000169119	0.000152957			0.001				
 	Maximum	0.629395608	0.64	0.008	0.229	0.00024638			0.002	0.000176648	0.000159767			0.001				
Heart Lumen	Average	0.599443383	0.102978414	0.013215545	0.278835104	0.000373329	4.98E-06	3.49E-06	0.000125765	0.00197772	0.002687521		0.00027373	4.48E-06		7.60E-05	4.98E-07	
 	Standard Deviation 	0.046466753	0.072242498	3.06E-05	0.02565289	0.000184182	0	0	7.81E-05	0.002311787	0.003142596		1.81E-05	0		3.44E-05	0	
 	Minimum	0.568890087	0.052291	0.013244665	0.261767335	0.000244528	0.00001	0.000007	0.000071	0.00035064	0.000475698		0.000262	0.000009		0.000052	0.000001	
 	Maximum	0.634604	0.15445732	0.013288	0.298046	0.000505	0.00001	0.000007	0.000181497	0.00362	0.00492		0.000287564	0.000009		0.000100665	0.000001	
Heart Muscle	Average	0.635337307	0.071660361	0.01282825	0.278292674	0.000269569			0.000400166	0.000386548	0.000349608		0.000475519					
 	Standard Deviation 	0.003417195	0.018258054	0.000824153	0.015971987	1.63E-06			2.41E-06	2.33E-06	2.11E-06		2.87E-06					
 	Minimum	0.631418092	0.053515322	0.012029212	0.263001299	0.000268496			0.000398574	0.00038501	0.000348217		0.000473627					
 	Maximum	0.637693199	0.090029369	0.01367541	0.294867794	0.00027144			0.000402945	0.000389232	0.000352035		0.00047882					
Hippocampus	Average	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Maximum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
Hypophysis	Average	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
 	Standard Deviation 	0	0	0	0	0			0	0	0							
 	Minimum	0.638600738	0.061321024	0.01060489	0.288192937	0.000538426			0.000199819	0.000193019	0.000349147							
