,lambda,mu_a_water,mu_a_skull
320,1622261.6615793747,115.49435311519444,34.64830593455833
321,1660435.1362639507,114.5541100958373,34.36623302875119
322,1699506.8718172878,113.60503787160472,34.08151136148142
323,1739498.005235567,112.6475703900938,33.79427111702814
324,1780430.1708900789,111.68212969291116,33.50463890787335
325,1822325.5122309776,110.7091264437195,33.21273793311585
326,1865206.69376644,109.72896036562112,32.918688109686336
327,1909096.9133236697,108.7420206045783,32.62260618137349
328,1954019.9145984496,107.7486860329413,32.324605809882385
329,2000000.0,106.74932550495224,32.02479765148567
330,2047062.0437980539,156.47582030070498,46.94274609021149
331,2095231.5055793284,155.42891623549892,46.628674870649675
332,2144534.4440206466,153.51948268677734,46.0558448060332
333,2194997.530986114,150.20634724429064,45.06190417328719
334,2246648.0659560533,144.41314740237232,43.323944220711695
335,2299513.9907954717,133.93060815737363,40.179182447212085
336,2353623.9048699983,114.32949318995172,34.29884795698551
337,2409007.0805175626,79.33181477425796,23.79954443227739
338,2465693.478884132,36.701548155309005,11.010464446592701
339,2523713.7661320423,31.103677004613264,9.33110310138398
340,2583099.3300297656,64.51470109085601,19.3544103272568
341,2643882.296932058,96.32722054844604,28.89816616453381
342,2706095.5491596153,116.61404533855688,34.98421360156706
343,2769772.7427877495,128.9303122815546,38.67909368446637
344,2834948.32585361,136.66617179473403,40.99985153842021
345,2901657.5569918808,141.7621161790196,42.52863485370588
346,2969936.5245089335,145.2697788217524,43.580933646525715
347,3039822.165905867,147.77443295651457,44.33232988695437
348,3111352.287860945,149.6164277508898,44.88492832526694
349,3184565.5866821883,151.00270758515114,45.30081227554534
350,3259501.6692412873,152.0643063764042,45.61929191292126
351,3336201.0744001186,152.88716421124064,45.86614926337219
352,3414705.294941385,153.52932660027213,46.058797980081636
353,3495056.800015366,154.03090368426797,46.209271105280386
354,3577299.058114871,154.42001171205047,46.32600351361514
355,3661476.56059074,154.71638042973603,46.414914128920806
356,3747634.8457207666,154.93352639794668,46.480057919384
357,3835820.523344978,155.0799690584976,46.523990717549275
358,3926081.3000805452,155.15971388214072,46.547914164642215
359,4018466.005130092,155.1720438078916,46.55161314236748
360,4113024.6166973035,155.11047674535848,46.53314302360754
361,4209808.289024044,154.960487665635,46.48814629969049
362,4308869.380063765,154.69513259457497,46.40853977837249
363,4410261.479806092,154.26678308573315,46.280034925719946
364,4514039.439267844,153.5911614441616,46.07734843324848
365,4620259.400166317,152.5152014126132,45.754560423783964
366,4728978.825290815,150.7488340720467,45.224650221614006
367,4840256.529588767,147.71140711294154,44.31342213388246
368,4954152.711983418,142.16687958435276,42.650063875305825
369,5070728.987940224,131.35268616101422,39.40580584830426
370,5190048.4227994755,109.40143366087968,32.8204300982639
371,5312175.565893369,70.37022621664188,21.111067864992563
372,5437176.4854658805,38.153488513942776,11.446046554182832
373,5565118.804414253,50.24408739114686,15.073226217344057
374,5696071.73687161,78.8041571473884,23.641247144216518
375,5830106.125650352,99.99397815579351,29.998193446738053
376,5967294.480566681,113.0939666772304,33.92819000316912
377,6107711.017666826,121.18096848878848,36.35429054663654
378,6251431.699376471,126.3505031431403,37.905150942942086
379,6398534.27559477,129.77199913891846,38.931599741675534
